page_index,time_cycles
4,864006
5,18
6,16
7,16
8,18
9,16
10,18
page_index,time_cycles
4,778464
5,18
6,16
7,16
8,16
9,14
10,16
page_index,time_cycles
4,2136166
5,14
6,16
7,14
8,16
9,16
10,16
page_index,time_cycles
4,1959456
5,16
6,12
7,16
8,14
9,16
10,16
page_index,time_cycles
4,1257090
5,16
6,16
7,16
8,16
9,76632
10,16
page_index,time_cycles
4,2505732
5,16
6,14
7,16
8,16
9,14
10,16
page_index,time_cycles
4,2055124
5,16
6,16
7,16
8,16
9,16
10,16
page_index,time_cycles
4,1165424
5,16
6,16
7,16
8,16
9,16
10,16
page_index,time_cycles
4,1257396
5,18
6,20
7,18
8,18
9,22
10,16
page_index,time_cycles
4,1819432
5,14
6,14
7,16
8,16
9,14
10,16
page_index,time_cycles
4,1772396
5,16
6,14
7,16
8,14
9,14
10,16
page_index,time_cycles
4,1473786
5,14
6,16
7,16
8,14
9,16
10,14
page_index,time_cycles
4,2441344
5,16
6,16
7,16
8,16
9,14
10,14
page_index,time_cycles
4,2418652
5,14
6,14
7,14
8,16
9,16
10,14
page_index,time_cycles
4,2012344
5,16
6,16
7,16
8,16
9,16
10,16
page_index,time_cycles
4,2494882
5,18
6,16
7,18
8,16
9,16
10,14
page_index,time_cycles
4,1485746
5,16
6,14
7,16
8,16
9,16
10,16
page_index,time_cycles
4,2379924
5,14
6,16
7,16
8,16
9,14
10,16
page_index,time_cycles
4,1824730
5,16
6,16
7,14
8,16
9,16
10,16
page_index,time_cycles
4,2133462
5,14
6,16
7,14
8,16
9,14
10,16
page_index,time_cycles
4,852604
5,16
6,14
7,14
8,16
9,16
10,16
page_index,time_cycles
4,1395448
5,16
6,16
7,16
8,18
9,16
10,14
page_index,time_cycles
4,1269140
5,18
6,20
7,20
8,16
9,16
10,16
page_index,time_cycles
4,2533462
5,14
6,16
7,16
8,16
9,14
10,16
page_index,time_cycles
4,802118
5,16
6,16
7,18
8,16
9,16
10,14
page_index,time_cycles
4,1598988
5,14
6,16
7,14
8,14
9,16
10,16
page_index,time_cycles
4,1175910
5,16
6,16
7,16
8,16
9,16
10,18
page_index,time_cycles
4,1583274
5,16
6,16
7,16
8,14
9,16
10,16
page_index,time_cycles
4,735948
5,16
6,16
7,16
8,14
9,16
10,16
page_index,time_cycles
4,873458
5,16
6,16
7,16
8,14
9,18
10,14
SUMMARY,COUNT=210,MEAN=233977.90,STD=612739.19
