P0, P1
29328154, 25717108 
167992, 557100 
28963872, 25056348 
116976, 331764 
29794144, 26138732 
163480, 384576 
29561820, 25696978 
173510, 427514 
29299734, 25778262 
131182, 454342 
29491238, 25715850 
147450, 430808 
29633638, 24259464 
140100, 379070 
28267298, 27693666 
163366, 474404 
29608156, 25741008 
138486, 376472 
29712916, 26909594 
142788, 485396 
29183366, 26758524 
145606, 369264 
29839772, 24008032 
181382, 409528 
28767876, 26375376 
139424, 405464 
29285518, 26621290 
137602, 412536 
29672666, 26457036 
278566, 407320 
29393046, 26822724 
138536, 389838 
29380678, 26863548 
142470, 391548 
29501744, 26234356 
142686, 414586 
29619522, 26090936 
186530, 452906 
29307690, 26124072 
150832, 410580 
29265790, 24828450 
163862, 410964 
29419828, 25203654 
149024, 423628 
29458468, 26517144 
146420, 426658 
29512334, 25439060 
146558, 445970 
29891742, 25708042 
182708, 439800 
29491436, 26175442 
141686, 370062 
29359224, 27071324 
169350, 392234 
29324092, 26133188 
183076, 432158 
29683102, 26711064 
164100, 538042 
29235344, 21576900 
137806, 446464 
29355138, 26746466 
159788, 406646 
29322698, 26286612 
167666, 407202 
29609830, 26796262 
154744, 409578 
29278842, 26490204 
145840, 388244 
29051652, 26611104 
147124, 397004 
29807420, 23940586 
169826, 410550 
29368460, 26617084 
174842, 430162 
29532660, 26668622 
157144, 412076 
29741950, 26771818 
282628, 391274 
29481322, 25882610 
149470, 390068 
29681306, 26935480 
137202, 384502 
29367988, 25958202 
156438, 415776 
29606004, 26403650 
150790, 411742 
29498908, 26645930 
161118, 408008 
28870270, 26839792 
151406, 418088 
29567384, 26644460 
167756, 417708 
29636534, 26455724 
211894, 417804 
29627142, 26408400 
156692, 449512 
29410806, 26260614 
161234, 525134 
29630124, 24450308 
167432, 404056 
