P0, P1
29630028, 26356212,
39048984, 171624,
28989636, 25018926,
34480288, 185898,
29728152, 25604614,
28213286, 167624,
29940606, 26336708,
19311540, 180778,
29524536, 26415644,
30225688, 203384,
29447238, 26031766,
18944128, 230526,
29376240, 25732042,
37400436, 206886,
28793002, 26552282,
10357270, 195454,
29499670, 56114874,
22626986, 175524,
29616520, 24622346,
24236986, 220988,
29942086, 26613900,
27041740, 166070,
29901450, 26746102,
25359364, 228674,
29464466, 16622458,
35230746, 208042,
29376882, 26864834,
24944764, 214342,
29530978, 26050096,
31448696, 172176,
29255412, 26661020,
41436522, 188772,
29492762, 25138994,
34235672, 175816,
29800788, 25531836,
24177520, 172276,
29037974, 27279500,
36381150, 199140,
29232634, 25996722,
30066204, 170494,
28565384, 26609436,
27830870, 181602,
29715614, 26193184,
24744420, 170194,
29358726, 26908974,
40286426, 170948,
29631458, 25415306,
17804578, 233988,
29618884, 26375242,
36123090, 172918,
29764548, 20201738,
16546492, 220574,
29505564, 25543006,
17615324, 238642,
29475266, 25498316,
19435988, 175516,
29131370, 25425952,
12589522, 189620,
29297258, 26651772,
39901548, 188590,
29441976, 26648486,
44112442, 171580,
29541546, 25817680,
17412292, 191580,
29640780, 26203100,
10647064, 172500,
29452474, 26629678,
15586292, 189258,
37108076, 56135706,
34371272, 369794,
29491850, 26289292,
45289524, 176630,
29313564, 26643354,
20599422, 210584,
29300650, 27192050,
14038990, 175820,
239556540, 86130632,
29237566, 172586,
29615614, 26560634,
27814792, 192758,
29600388, 26784396,
45391800, 173100,
29982044, 26241912,
32450138, 178302,
29654684, 25867570,
36459962, 214396,
29470452, 26282954,
31430088, 173178,
29249304, 55726172,
29110406, 178186,
29673588, 25645980,
114669096, 186108,
29514644, 26233484,
31451142, 181320,
29605192, 26445478,
38990080, 208580,
29989344, 24990738,
15589322, 164424,
29144858, 26646518,
28248230, 175102,
