P0, P1
29492184, 14027598
154338, 468498
29473686, 14289856
220944, 596468
29286394, 14576596
343398, 437822
28884640, 42457812
278040, 648180
28884064, 72168970
156394, 484640
29557878, 15885114
89388, 459690
29344136, 12868926
234022, 487816
28803240, 13969102
473852, 909292
28794972, 36593224
104966, 452478
28826980, 11386256
482116, 414510
29052696, 13087998
388636, 525838
29459356, 12533362
130930, 445472
29450966, 11975814
280450, 522750
29253478, 47313560
456938, 592192
28569044, 13593096
92392, 423296
29037672, 47857788
92930, 611972
29256678, 45905644
194926, 597646
29444594, 9630000
136576, 451428
29280644, 9929846
306466, 696292
29645984, 22560030
97022, 387970
28528966, 38675226
214814, 466572
29071942, 12695808
128870, 496358
29129858, 16606682
122666, 629108
28570600, 12475456
113898, 557890
29656448, 13358952
252130, 581862
29214774, 15559534
213438, 593558
29295170, 15204222
168844, 661542
28745742, 13061910
204964, 449894
29223908, 10932080
88772, 465358
29449504, 12715766
306748, 633114
29379530, 13915022
327020, 736682
29543408, 13187526
149850, 625870
28986864, 12333176
129770, 516004
29160750, 11743184
71174, 162076
29102338, 11935604
100174, 462894
29864614, 11685528
167748, 476650
29064632, 13801918
70608, 376912
29368310, 14398264
114864, 408858
29083302, 12949136
113016, 392974
29081056, 25131826
184342, 645278
28906966, 11282450
277592, 706078
28396716, 37559146
337464, 594758
28516268, 9236922
249956, 638428
29571242, 11410480
126512, 637200
29374200, 12487586
97200, 597936
28820624, 13314474
146230, 381072
28782130, 13400770
213418, 589288
29486092, 14536808
117272, 440550
28897922, 13202392
248976, 670216
28801458, 11372648
254738, 543324
