Page 0, Page 1
29354388, 13432058,
92699906, 120102,
28833070, 30518924,
36952158, 270710,
29526466, 9707492,
31622014, 272014,
29240084, 8959678,
27018178, 113760,
28939586, 37995510,
17391786, 114572,
29165984, 12531658,
23344540, 257972,
29054314, 11139470,
34423184, 272992,
29249150, 10993050,
31601384, 332350,
28834492, 13672322,
9723620, 211242,
28950972, 9780222,
49374964, 346764,
29137594, 36420274,
14068594, 329922,
28162130, 10540058,
25845274, 260142,
29167536, 11867064,
16760446, 209230,
29226812, 14063734,
33103432, 179202,
29188000, 10155986,
32000004, 212432,
29098908, 12147528,
38047918, 120716,
29818188, 10307648,
9818514, 81614,
29389022, 12178692,
24659242, 306462,
28763472, 37100960,
23232450, 273316,
28892576, 10101488,
39311152, 306430,
29256342, 10999300,
27704734, 332612,
28310456, 38481458,
35048572, 260842,
29098002, 11319962,
34843538, 113838,
28952024, 12702206,
10040298, 143018,
29827804, 13110178,
24702202, 347756,
29359770, 13302654,
17633672, 729908,
29576608, 11641358,
27581146, 314108,
29778066, 12440216,
33578866, 222300,
29444822, 14529698,
30584822, 249570,
29564764, 13215466,
29509772, 223682,
28626804, 9584580,
17594886, 284858,
29472328, 13476284,
12240668, 229522,
29531900, 14070236,
34316724, 217950,
29229130, 12865082,
29015582, 352222,
29389338, 11136866,
30852110, 244296,
28555620, 10462548,
34653718, 224704,
28473284, 12091204,
24949564, 187604,
29165314, 12343256,
18285130, 248780,
29299500, 8932718,
30213648, 343342,
48299926, 21967446,
25751008, 179348,
18489264, 23349470,
45423016, 219600,
28662816, 45475872,
14995962, 267362,
29209460, 11134280,
12447258, 215440,
29414834, 10055028,
9350814, 116874,
28558928, 13538308,
33271706, 135328,
28883228, 13394652,
22189500, 224250,
28178760, 11577106,
21563996, 212278,
29175372, 10323438,
23759632, 341604,
28680832, 45242622,
24733176, 134100,
29547788, 13538866,
26533176, 143954,
