Page 1, Page 0
1261302 , 26388092 
1439628 , 26081336 
670348 , 30039610 
2946652 , 113085584 
3008684 , 36087162 
1423080 , 2007822 
1285832 , 35438204 
947528 , 2151172 
1257584 , 65475310 
2559394 , 2785830 
2694332 , 2355964 
1469520 , 35758298 
2892900 , 37269844 
2618448 , 2754758 
815712 , 1567138 
2037520 , 38698574 
1003808 , 96804292 
2285616 , 23539542 
1369226 , 1530490 
1049858 , 96541106 
1135698 , 2108968 
906400 , 1636146 
2428666 , 27969728 
1591422 , 36103370 
750156 , 37692726 
1026880 , 2463916 
1244884 , 2374770 
2717980 , 28276764 
1185198 , 31026126 
920302 , 87615292 
1226460 , 1201708 
3101480 , 2924706 
2810220 , 27763026 
1510722 , 36464882 
992906 , 2684282 
2584628 , 79893600 
866850 , 97218118 
3083184 , 20690644 
2927582 , 75730864 
1484258 , 36966386 
1953018 , 2214198 
2747526 , 147722344 
1732128 , 2807170 
585360 , 1500438 
1562246 , 38159430 
1435984 , 1464448 
1029158 , 22738170 
1298448 , 2521120 
2613308 , 78938774 
2793734 , 115357590 
